A Ion Radius,X Ion Radius,t,μ,B NumberofProtons,X1 NumberofProtons,B SpecificHeat,X1 SpecificHeat,X2 SpecificHeat,X3 SpecificHeat,X4 SpecificHeat,A1 Density,A2 Density,B Density,B FirstIonization,X4 FirstIonization,B AtomicMass,A2 MeltingPoint,B MeltingPoint,X3 MeltingPoint,Ef (eV)
167.0,196.0,1.030842416,0.270408163,32,35,0.32,0.474,0.474,0.474,0.474,1.87,1.87,5.32,7.8994,11.8138,72.64,301.7,1211.45,266.05,-3.803974914
76.0,196.0,0.725785074,0.352040816,50,35,0.228,0.474,0.474,0.474,0.474,0.534,0.534,7.29,7.3439,11.8138,118.71,453.85,505.21,266.05,2.687332194
102.0,196.0,0.795161588,0.352040816,50,35,0.228,0.474,0.474,0.474,0.474,0.971,0.971,7.29,7.3439,11.8138,118.71,371.15,505.21,266.05,-2.978978688
138.0,196.0,0.891221377,0.352040816,50,35,0.228,0.474,0.474,0.474,0.474,0.862,0.862,7.29,7.3439,11.8138,118.71,336.5,505.21,266.05,-1.882046612
152.0,196.0,0.928577962,0.352040816,50,35,0.228,0.474,0.474,0.474,0.474,1.53,1.53,7.29,7.3439,11.8138,118.71,312.79,505.21,266.05,-1.911757486
167.0,196.0,0.968602874,0.352040816,50,35,0.228,0.474,0.474,0.474,0.474,1.87,1.87,7.29,7.3439,11.8138,118.71,301.7,505.21,266.05,-2.281402372
76.0,196.0,0.610581094,0.607142857,82,35,0.129,0.474,0.474,0.474,0.474,0.534,0.534,11.3,7.4167,11.8138,207.2,453.85,600.75,266.05,1.773916
102.0,196.0,0.668945463,0.607142857,82,35,0.129,0.474,0.474,0.474,0.474,0.971,0.971,11.3,7.4167,11.8138,207.2,371.15,600.75,266.05,-3.888478882
138.0,196.0,0.749757666,0.607142857,82,35,0.129,0.474,0.474,0.474,0.474,0.862,0.862,11.3,7.4167,11.8138,207.2,336.5,600.75,266.05,-2.792085806
152.0,196.0,0.781184634,0.607142857,82,35,0.129,0.474,0.474,0.474,0.474,1.53,1.53,11.3,7.4167,11.8138,207.2,312.79,600.75,266.05,-2.81219668
167.0,196.0,0.814856386,0.607142857,82,35,0.129,0.474,0.474,0.474,0.474,1.87,1.87,11.3,7.4167,11.8138,207.2,301.7,600.75,266.05,-3.186600566
